DATE,A446RC1Q027SBEA
1947-01-01,32.582
1947-04-01,30.708
1947-07-01,30.312
1947-10-01,32.999
1948-01-01,34.539
1948-04-01,36.305
1948-07-01,35.687
1948-10-01,34.432
1949-01-01,31.295
1949-04-01,27.524
1949-07-01,28.636
1949-10-01,28.213
1950-01-01,32.349
1950-04-01,38.839
1950-07-01,47.077
1950-10-01,51.781
1951-01-01,50.909
1951-04-01,42.901
1951-07-01,38.862
1951-10-01,41.872
1952-01-01,39.686
1952-04-01,37.787
1952-07-01,37.982
1952-10-01,42.12
1953-01-01,44.021
1953-04-01,44.134
1953-07-01,43.345
1953-10-01,33.903
1954-01-01,36.179
1954-04-01,37.285
1954-07-01,39.549
1954-10-01,42.311
1955-01-01,47.479
1955-04-01,48.204
1955-07-01,49.327
1955-10-01,51.335
1956-01-01,49.565
1956-04-01,50.782
1956-07-01,48.035
1956-10-01,50.835
1957-01-01,51.506
1957-04-01,48.951
1957-07-01,47.926
1957-10-01,44.022
1958-01-01,37.984
1958-04-01,38.728
1958-07-01,43.468
1958-10-01,49.846
1959-01-01,53.002
1959-04-01,57.858
1959-07-01,51.757
1959-10-01,50.328
1960-01-01,55.718
1960-04-01,51.26
1960-07-01,49.079
1960-10-01,46.806
1961-01-01,45.791
1961-04-01,48.919
1961-07-01,51.689
1961-10-01,55.955
1962-01-01,54.968
1962-04-01,54.402
1962-07-01,56.041
1962-10-01,56.318
1963-01-01,56.284
1963-04-01,60.108
1963-07-01,61.757
1963-10-01,63.192
1964-01-01,66.245
1964-04-01,66.389
1964-07-01,68.02
1964-10-01,67.254
1965-01-01,74.271
1965-04-01,76.862
1965-07-01,78.661
1965-10-01,83.821
1966-01-01,86.478
1966-04-01,86.716
1966-07-01,86.005
1966-10-01,84.225
1967-01-01,81.096
1967-04-01,81.15
1967-07-01,82.128
1967-10-01,86.941
1968-01-01,90.056
1968-04-01,92.098
1968-07-01,92.412
1968-10-01,94.515
1969-01-01,94.434
1969-04-01,91.367
1969-07-01,87.954
1969-10-01,86.475
1970-01-01,79.199
1970-04-01,78.97
1970-07-01,80.988
1970-10-01,77.494
1971-01-01,87.06
1971-04-01,89.776
1971-07-01,93.344
1971-10-01,95.483
1972-01-01,101.061
1972-04-01,102.197
1972-07-01,105.844
1972-10-01,116.3
1973-01-01,129.079
1973-04-01,131.025
1973-07-01,128.741
1973-10-01,136.085
1974-01-01,138.048
1974-04-01,144.043
1974-07-01,155.548
1974-10-01,138.592
1975-01-01,119.159
1975-04-01,127.474
1975-07-01,153.487
1975-10-01,160.447
1976-01-01,177.534
1976-04-01,179.347
1976-07-01,181.424
1976-10-01,180.359
1977-01-01,193.603
1977-04-01,207.991
1977-07-01,216.223
1977-10-01,219.703
1978-01-01,215.695
1978-04-01,251.07
1978-07-01,255.419
1978-10-01,267.979
1979-01-01,266.654
1979-04-01,270.233
1979-07-01,267.844
1979-10-01,261.392
1980-01-01,268.384
1980-04-01,222.794
1980-07-01,239.514
1980-10-01,258.455
1981-01-01,261.171
1981-04-01,243.187
1981-07-01,251.032
1981-10-01,232.393
1982-01-01,202.466
1982-04-01,204.493
1982-07-01,202.802
1982-10-01,189.2
1983-01-01,193.501
1983-04-01,226.349
1983-07-01,245.505
1983-10-01,249.969
1984-01-01,273.921
1984-04-01,271.658
1984-07-01,249.199
1984-10-01,251.909
1985-01-01,249.736
1985-04-01,244.737
1985-07-01,258.862
1985-10-01,252.869
1986-01-01,222.821
1986-04-01,222.921
1986-07-01,222.155
1986-10-01,238.983
1987-01-01,248.079
1987-04-01,281.99
1987-07-01,302.298
1987-10-01,298.758
1988-01-01,309.527
1988-04-01,327.451
1988-07-01,336.632
1988-10-01,351.876
1989-01-01,348.261
1989-04-01,327.626
1989-07-01,310.292
1989-10-01,302.913
1990-01-01,312.203
1990-04-01,328.882
1990-07-01,342.391
1990-10-01,328.381
1991-01-01,339.289
1991-04-01,350.752
1991-07-01,361.725
1991-10-01,359.617
1992-01-01,380.492
1992-04-01,397.516
1992-07-01,379.777
1992-10-01,400.096
1993-01-01,387.879
1993-04-01,424.439
1993-07-01,422.243
1993-10-01,481.494
1994-01-01,485.842
1994-04-01,505.154
1994-07-01,540.666
1994-10-01,563.29
1995-01-01,573.586
1995-04-01,585.489
1995-07-01,609.752
1995-10-01,600.39
1996-01-01,625.959
1996-04-01,642.422
1996-07-01,637.708
1996-10-01,640.992
1997-01-01,661.626
1997-04-01,674.754
1997-07-01,711.955
1997-10-01,708.994
1998-01-01,628.114
1998-04-01,625.16
1998-07-01,637.135
1998-10-01,610.855
1999-01-01,634.902
1999-04-01,644.549
1999-07-01,645.889
1999-10-01,651.238
2000-01-01,639.732
2000-04-01,622.995
2000-07-01,591.6
2000-10-01,549.303
2001-01-01,558.022
2001-04-01,564.309
2001-07-01,522.929
2001-10-01,435.684
2002-01-01,527.024
2002-04-01,604.271
2002-07-01,658.474
2002-10-01,737.311
2003-01-01,777.059
2003-04-01,767.192
2003-07-01,825.761
2003-10-01,874.778
2004-01-01,975.621
2004-04-01,1051.542
2004-07-01,1097.757
2004-10-01,1125.375
2005-01-01,1382.178
2005-04-01,1396.399
2005-07-01,1428.59
2005-10-01,1550.727
2006-01-01,1578.877
2006-04-01,1619.617
2006-07-01,1662.501
2006-10-01,1556.771
2007-01-01,1473.455
2007-04-01,1506.617
2007-07-01,1361.772
2007-10-01,1314.828
2008-01-01,1158.328
2008-04-01,1169.451
2008-07-01,1073.63
2008-10-01,555.051
2009-01-01,910.685
2009-04-01,1038.402
2009-07-01,1184.019
2009-10-01,1341.805
2010-01-01,1397.803
2010-04-01,1394.047
2010-07-01,1504.476
2010-10-01,1496.571
2011-01-01,1352.639
2011-04-01,1415.265
2011-07-01,1370.74
2011-10-01,1484.077
2012-01-01,1781.279
2012-04-01,1734.922
2012-07-01,1757.644
2012-10-01,1729.112
2013-01-01,1739.705
2013-04-01,1719.789
2013-07-01,1748.841
2013-10-01,1802.388
2014-01-01,1765.409
2014-04-01,1896.281
2014-07-01,1894.013
2014-10-01,1882.679
2015-01-01,1792.97
2015-04-01,1821.676
2015-07-01,1730.393
2015-10-01,1587.218
2016-01-01,1666.208
2016-04-01,1723.712
2016-07-01,1720.057
2016-10-01,1710.263
2017-01-01,1739.739
2017-04-01,1738.225
2017-07-01,1745.774
2017-10-01,1520.182
2018-01-01,1619.977
2018-04-01,1672.582
2018-07-01,1703.255
2018-10-01,1700.704
2019-01-01,1704.531
2019-04-01,1737.592
2019-07-01,1688.841
2019-10-01,1796.424
2020-01-01,1521.54
2020-04-01,1410.235
2020-07-01,1991.209
