DATE,B021RE1A156NBEA
1929-01-01,5.3
1930-01-01,4.5
1931-01-01,3.8
1932-01-01,3.2
1933-01-01,3.4
1934-01-01,3.4
1935-01-01,4
1936-01-01,3.7
1937-01-01,4.3
1938-01-01,3.3
1939-01-01,3.4
1940-01-01,3.3
1941-01-01,3.4
1942-01-01,2.8
1943-01-01,3.1
1944-01-01,3.1
1945-01-01,3.3
1946-01-01,3.1
1947-01-01,3.2
1948-01-01,3.7
1949-01-01,3.4
1950-01-01,3.9
1951-01-01,4.2
1952-01-01,4.2
1953-01-01,4.1
1954-01-01,4.0
1955-01-01,4
1956-01-01,4.2
1957-01-01,4.2
1958-01-01,4.2
1959-01-01,4.3
1960-01-01,4.2
1961-01-01,4
1962-01-01,4.1
1963-01-01,4.1
1964-01-01,4.1
1965-01-01,4.2
1966-01-01,4.6
1967-01-01,4.6
1968-01-01,4.9
1969-01-01,5
1970-01-01,5.2
1971-01-01,5.4
1972-01-01,5.8
1973-01-01,6.4
1974-01-01,8.2
1975-01-01,7.3
1976-01-01,8.1
1977-01-01,8.8
1978-01-01,9
1979-01-01,9.6
1980-01-01,10.3
1981-01-01,9.9
1982-01-01,9.1
1983-01-01,9
1984-01-01,10
1985-01-01,9.6
1986-01-01,9.9
1987-01-01,10.5
1988-01-01,10.6
1989-01-01,10.5
1990-01-01,10.6
1991-01-01,10.1
1992-01-01,10.2
1993-01-01,10.5
1994-01-01,11.2
1995-01-01,11.8
1996-01-01,11.9
1997-01-01,12.3
1998-01-01,12.3
1999-01-01,13.0
2000-01-01,14.4
2001-01-01,13.2
2002-01-01,13
2003-01-01,13.4
2004-01-01,14.7
2005-01-01,15.5
2006-01-01,16.2
2007-01-01,16.5
2008-01-01,17.4
2009-01-01,13.7
2010-01-01,15.7
2011-01-01,17.3
2012-01-01,17.0
2013-01-01,16.5
2014-01-01,16.4
2015-01-01,15.3
2016-01-01,14.6
2017-01-01,15.0
2018-01-01,15.2
2019-01-01,14.6
2020-01-01,13.2
