Percentile,Year,Net Personal Wealth Share,Pretax Income Share
p99p100,1913,,0.2043
p99p100,1914,,0.2092
p99p100,1915,,0.2028
p99p100,1916,,0.2137
p99p100,1917,,0.213
p99p100,1918,,0.197
p99p100,1919,,0.2164
p99p100,1920,,0.1913
p99p100,1921,,0.1918
p99p100,1922,,0.1858
p99p100,1923,,0.1771
p99p100,1924,,0.1847
p99p100,1925,,0.2069
p99p100,1926,,0.2192
p99p100,1927,,0.2124
p99p100,1928,,0.2229
p99p100,1929,,0.2218
p99p100,1930,,0.1938
p99p100,1931,,0.1677
p99p100,1932,,0.1652
p99p100,1933,,0.1748
p99p100,1934,,0.1907
p99p100,1935,,0.1933
p99p100,1936,,0.2092
p99p100,1937,,0.2064
p99p100,1938,,0.1864
p99p100,1939,,0.1957
p99p100,1940,,0.2086
p99p100,1941,,0.2156
p99p100,1942,,0.2058
p99p100,1943,,0.186
p99p100,1944,,0.1535
p99p100,1945,,0.1427
p99p100,1946,,0.1429
p99p100,1947,,0.1498
p99p100,1948,,0.163
p99p100,1949,,0.157
p99p100,1950,,0.1671
p99p100,1951,,0.1601
p99p100,1952,,0.1496
p99p100,1953,,0.1404
p99p100,1954,,0.1394
p99p100,1955,,0.1463
p99p100,1956,,0.1381
p99p100,1957,,0.1353
p99p100,1958,,0.1267
p99p100,1959,,0.1321
p99p100,1960,,0.1268
p99p100,1961,,0.1253
p99p100,1962,0.2834,0.1265
p99p100,1963,0.2801,0.128
p99p100,1964,0.2769,0.1294
p99p100,1965,0.2756,0.1287
p99p100,1966,0.2743,0.1282
p99p100,1967,0.2724,0.1223
p99p100,1968,0.289,0.1243
p99p100,1969,0.2697,0.1141
p99p100,1970,0.2637,0.1049
p99p100,1971,0.2627,0.1088
p99p100,1972,0.2615,0.1087
p99p100,1973,0.2504,0.1077
p99p100,1974,0.2368,0.1026
p99p100,1975,0.234,0.1031
p99p100,1976,0.223,0.1022
p99p100,1977,0.2242,0.1047
p99p100,1978,0.2147,0.1025
p99p100,1979,0.2292,0.1077
p99p100,1980,0.2295,0.1034
p99p100,1981,0.2359,0.1056
p99p100,1982,0.2422,0.1087
p99p100,1983,0.2366,0.1126
p99p100,1984,0.2384,0.1189
p99p100,1985,0.2412,0.12
