DATE,BOGZ1FA114123005Q
1946-10-01,1865.0
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,1739.0
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,1314.0
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,1382.0
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,3106.0
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,3293.0
1952-01-01,2036.0
1952-04-01,3421.0
1952-07-01,2503.0
1952-10-01,2054.0
1953-01-01,586.0
1953-04-01,2234.0
1953-07-01,2367.0
1953-10-01,-1513.0
1954-01-01,1712.0
1954-04-01,3205.0
1954-07-01,4085.0
1954-10-01,1220.0
1955-01-01,2688.0
1955-04-01,5505.0
1955-07-01,4843.0
1955-10-01,2645.0
1956-01-01,2378.0
1956-04-01,4394.0
1956-07-01,4110.0
1956-10-01,1483.0
1957-01-01,1169.0
1957-04-01,2795.0
1957-07-01,3177.0
1957-10-01,2667.0
1958-01-01,1683.0
1958-04-01,3935.0
1958-07-01,4593.0
1958-10-01,4987.0
1959-01-01,5654.0
1959-04-01,7812.0
1959-07-01,6709.0
1959-10-01,4098.0
1960-01-01,4413.0
1960-04-01,5363.0
1960-07-01,5091.0
1960-10-01,4236.0
1961-01-01,7160.0
1961-04-01,5408.0
1961-07-01,8116.0
1961-10-01,6092.0
1962-01-01,6749.0
1962-04-01,7921.0
1962-07-01,7560.0
1962-10-01,8109.0
1963-01-01,7081.0
1963-04-01,9426.0
1963-07-01,8547.0
1963-10-01,9623.0
1964-01-01,6745.0
1964-04-01,9593.0
1964-07-01,9152.0
1964-10-01,7694.0
1965-01-01,7736.0
1965-04-01,10711.0
1965-07-01,9748.0
1965-10-01,9110.0
1966-01-01,12777.0
1966-04-01,10907.0
1966-07-01,7247.0
1966-10-01,7806.0
1967-01-01,6396.0
1967-04-01,11809.0
1967-07-01,10440.0
1967-10-01,12679.0
1968-01-01,6552.0
1968-04-01,13663.0
1968-07-01,10428.0
1968-10-01,13243.0
1969-01-01,11157.0
1969-04-01,18679.0
1969-07-01,16551.0
1969-10-01,14882.0
1970-01-01,-27922.0
1970-04-01,17428.0
1970-07-01,19191.0
1970-10-01,17971.0
1971-01-01,15980.0
1971-04-01,28115.0
1971-07-01,21881.0
1971-10-01,24298.0
1972-01-01,19137.0
1972-04-01,37962.0
1972-07-01,28925.0
1972-10-01,39512.0
1973-01-01,35842.0
1973-04-01,31238.0
1973-07-01,8082.0
1973-10-01,-3372.0
1974-01-01,32985.0
1974-04-01,44620.0
1974-07-01,42399.0
1974-10-01,28424.0
1975-01-01,22896.0
1975-04-01,24530.0
1975-07-01,17613.0
1975-10-01,16368.0
1976-01-01,33424.0
1976-04-01,26247.0
1976-07-01,29230.0
1976-10-01,29039.0
1977-01-01,44048.0
1977-04-01,45656.0
1977-07-01,39869.0
1977-10-01,41342.0
1978-01-01,45326.0
1978-04-01,60599.0
1978-07-01,65290.0
1978-10-01,62366.0
1979-01-01,53208.0
1979-04-01,93667.0
1979-07-01,81196.0
1979-10-01,67178.0
1980-01-01,72177.0
1980-04-01,54786.0
1980-07-01,60783.0
1980-10-01,65010.0
1981-01-01,75010.0
1981-04-01,63897.0
1981-07-01,53924.0
1981-10-01,66039.0
1982-01-01,49609.0
1982-04-01,63714.0
1982-07-01,67770.0
1982-10-01,50423.0
1983-01-01,75631.0
1983-04-01,58732.0
1983-07-01,67892.0
1983-10-01,83050.0
1984-01-01,109184.0
1984-04-01,118625.0
1984-07-01,115701.0
1984-10-01,111148.0
1985-01-01,103286.0
1985-04-01,105229.0
1985-07-01,53658.0
1985-10-01,19427.0
1986-01-01,79163.0
1986-04-01,76465.0
1986-07-01,63359.0
1986-10-01,49602.0
1987-01-01,74616.0
1987-04-01,47474.0
1987-07-01,54178.0
1987-10-01,55876.0
1988-01-01,83333.0
1988-04-01,91982.0
1988-07-01,98221.0
1988-10-01,62794.0
1989-01-01,54057.0
1989-04-01,49817.0
1989-07-01,45366.0
1989-10-01,44313.0
1990-01-01,23615.0
1990-04-01,-7474.0
1990-07-01,-800.0
