DATE,NCBCEBQ027S
1947-10-01,1093
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,1000
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,1212
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,1288
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,2107
1952-01-01,2292
1952-04-01,2656
1952-07-01,1560
1952-10-01,2772
1953-01-01,2072
1953-04-01,2180
1953-07-01,1260
1953-10-01,1552
1954-01-01,2948
1954-04-01,2088
1954-07-01,912
1954-10-01,384
1955-01-01,2124
1955-04-01,640
1955-07-01,1112
1955-10-01,3000
1956-01-01,2088
1956-04-01,936
1956-07-01,2292
1956-10-01,3684
1957-01-01,3040
1957-04-01,3612
1957-07-01,1196
1957-10-01,1916
1958-01-01,884
1958-04-01,3432
1958-07-01,1940
1958-10-01,1616
1959-01-01,2044
1959-04-01,2952
1959-07-01,1040
1959-10-01,2276
1960-01-01,1404
1960-04-01,1476
1960-07-01,1600
1960-10-01,980
1961-01-01,2680
1961-04-01,4672
1961-07-01,1532
1961-10-01,-400
1962-01-01,244
1962-04-01,576
1962-07-01,256
1962-10-01,400
1963-01-01,-20
1963-04-01,-44
1963-07-01,384
1963-10-01,-1684
1964-01-01,2548
1964-04-01,3128
1964-07-01,748
1964-10-01,-1844
1965-01-01,-224
1965-04-01,1320
1965-07-01,52
1965-10-01,-1260
1966-01-01,-528
1966-04-01,6032
1966-07-01,1068
1966-10-01,-1536
1967-01-01,1008
1967-04-01,1920
1967-07-01,2944
1967-10-01,3716
1968-01-01,1460
1968-04-01,2120
1968-07-01,-1904
1968-10-01,-2312
1969-01-01,1348
1969-04-01,1684
1969-07-01,3960
1969-10-01,6632
1970-01-01,5268
1970-04-01,4780
1970-07-01,4424
1970-10-01,8304
1971-01-01,7928
1971-04-01,13260
1971-07-01,15360
1971-10-01,9192
1972-01-01,9032
1972-04-01,13712
1972-07-01,10384
1972-10-01,10560
1973-01-01,7004
1973-04-01,8676
1973-07-01,5148
1973-10-01,10704
1974-01-01,6220
1974-04-01,4976
1974-07-01,-20
1974-10-01,5212
1975-01-01,7732
1975-04-01,12892
1975-07-01,6852
1975-10-01,12156
1976-01-01,12608
1976-04-01,14020
1976-07-01,7316
1976-10-01,8152
1977-01-01,-640
1977-04-01,1728
1977-07-01,4420
1977-10-01,5400
1978-01-01,-6444
1978-04-01,2792
1978-07-01,800
1978-10-01,2448
1979-01-01,-6740
1979-04-01,-12448
1979-07-01,-7580
1979-10-01,-4576
1980-01-01,5500
1980-04-01,3400
1980-07-01,10100
1980-10-01,22500
1981-01-01,3200
1981-04-01,-5400
1981-07-01,-26600
1981-10-01,-25000
1982-01-01,-7500
1982-04-01,2700
1982-07-01,-7500
1982-10-01,19900
1983-01-01,22900
1983-04-01,36900
1983-07-01,8500
1983-10-01,11700
1984-01-01,-63000
1984-04-01,-105000
1984-07-01,-71700
1984-10-01,-76200
1985-01-01,-87000
1985-04-01,-70000
1985-07-01,-78000
1985-10-01,-103000
1986-01-01,-60300
1986-04-01,-87300
1986-07-01,-84800
1986-10-01,-107500
1987-01-01,-43500
1987-04-01,-76500
1987-07-01,-70000
1987-10-01,-112000
1988-01-01,-101000
1988-04-01,-139500
1988-07-01,-83000
1988-10-01,-194500
1989-01-01,-172300
1989-04-01,-98700
1989-07-01,-146300
1989-10-01,-79300
1990-01-01,-69000
1990-04-01,-48000
1990-07-01,-74000
1990-10-01,-61000
1991-01-01,-6000
1991-04-01,12000
1991-07-01,19000
1991-10-01,48000
1992-01-01,46000
1992-04-01,36000
1992-07-01,12000
1992-10-01,14000
1993-01-01,8200
1993-04-01,23200
1993-07-01,32300
1993-10-01,21500
1994-01-01,-9600
1994-04-01,-2000
1994-07-01,-50000
1994-10-01,-118000
1995-01-01,-43600
1995-04-01,-54920
1995-07-01,-76400
1995-10-01,-58400
1996-01-01,-60900
1996-04-01,13900
1996-07-01,-112500
1996-10-01,-29800
1997-01-01,-55800
1997-04-01,-58700
1997-07-01,-91500
1997-10-01,-103500
1998-01-01,-86700
1998-04-01,-71232
1998-07-01,-259360
1998-10-01,-444856
1999-01-01,-27680
1999-04-01,-306800
1999-07-01,-104752
1999-10-01,-2240
2000-01-01,108176
2000-04-01,-202520
2000-07-01,-42924
2000-10-01,-335548
2001-01-01,-19400
2001-04-01,-59100
2001-07-01,-109400
2001-10-01,-4600
2002-01-01,-10576.0
2002-04-01,25428.0
2002-07-01,-81264.0
2002-10-01,8392.0
2003-01-01,-40692.0
2003-04-01,-13752.0
2003-07-01,236.0
2003-10-01,-8220.0
2004-01-01,-3208.0
2004-04-01,-67292.0
2004-07-01,-128800.0
2004-10-01,-282920.0
2005-01-01,-172124.0
2005-04-01,-234888.0
2005-07-01,-362520.0
2005-10-01,-335136.0
2006-01-01,-443180.0
2006-04-01,-467908.0
2006-07-01,-431436.0
2006-10-01,-550168.0
2007-01-01,-438332.0
2007-04-01,-598064.0
2007-07-01,-648076.0
2007-10-01,-906472.0
2008-01-01,-336396.0
2008-04-01,-154448.0
2008-07-01,-294132.0
2008-10-01,-373900.0
2009-01-01,-151800.0
2009-04-01,157244.0
2009-07-01,83680.0
2009-10-01,-249208.0
2010-01-01,-143948.0
2010-04-01,-141732.0
2010-07-01,-284952.0
2010-10-01,-233180.0
2011-01-01,-239064.0
2011-04-01,-405568.0
2011-07-01,-532352.0
2011-10-01,-353316.0
2012-01-01,-198272.0
2012-04-01,-396540.0
2012-07-01,-293712.0
2012-10-01,-311504.0
2013-01-01,-153024.0
2013-04-01,-293988.0
2013-07-01,-241076.0
2013-10-01,-421096.0
2014-01-01,-407644.0
2014-04-01,-193972.0
2014-07-01,-321808.0
2014-10-01,-284360.0
2015-01-01,-467852.0
2015-04-01,-409616.0
2015-07-01,-517596.0
2015-10-01,-418844.0
2016-01-01,-509948.0
2016-04-01,-547656.0
2016-07-01,-602632.0
2016-10-01,-323168.0
2017-01-01,-357752.0
2017-04-01,-221856.0
2017-07-01,-478428.0
2017-10-01,-244168.0
2018-01-01,-398456.0
2018-04-01,-836988.0
2018-07-01,-194212.0
2018-10-01,-763556.0
2019-01-01,-699176.0
2019-04-01,-168716.0
2019-07-01,-446420.0
2019-10-01,-495196.0
2020-01-01,-392188.0
2020-04-01,-73048.0
2020-07-01,-27072.0
