DATE,A464RC1Q027SBEA
1947-01-01,30.665
1947-04-01,28.839
1947-07-01,28.431
1947-10-01,30.901
1948-01-01,32.117
1948-04-01,33.664
1948-07-01,32.829
1948-10-01,31.362
1949-01-01,28.045
1949-04-01,24.231
1949-07-01,25.306
1949-10-01,24.88
1950-01-01,29.063
1950-04-01,35.562
1950-07-01,43.787
1950-10-01,48.395
1951-01-01,47.479
1951-04-01,39.347
1951-07-01,35.112
1951-10-01,37.697
1952-01-01,35.655
1952-04-01,33.48
1952-07-01,33.435
1952-10-01,37.341
1953-01-01,39.342
1953-04-01,39.383
1953-07-01,38.385
1953-10-01,28.908
1954-01-01,31.143
1954-04-01,32.177
1954-07-01,34.465
1954-10-01,37.083
1955-01-01,42.191
1955-04-01,42.857
1955-07-01,43.988
1955-10-01,45.976
1956-01-01,44.166
1956-04-01,45.167
1956-07-01,42.231
1956-10-01,44.936
1957-01-01,45.543
1957-04-01,43.089
1957-07-01,41.86
1957-10-01,37.912
1958-01-01,31.655
1958-04-01,32.346
1958-07-01,37.107
1958-10-01,43.113
1959-01-01,46.009
1959-04-01,50.558
1959-07-01,43.832
1959-10-01,42.116
1960-01-01,47.265
1960-04-01,42.763
1960-07-01,40.713
1960-10-01,38.393
1961-01-01,37.241
1961-04-01,40.661
1961-07-01,43.463
1961-10-01,47.677
1962-01-01,46.562
1962-04-01,45.728
1962-07-01,47.292
1962-10-01,47.765
1963-01-01,47.875
1963-04-01,51.843
1963-07-01,53.512
1963-10-01,54.927
1964-01-01,57.599
1964-04-01,57.655
1964-07-01,59.218
1964-10-01,58.417
1965-01-01,65.591
1965-04-01,67.985
1965-07-01,69.351
1965-10-01,73.473
1966-01-01,75.712
1966-04-01,76.11
1966-07-01,75.155
1966-10-01,73.49
1967-01-01,70.198
1967-04-01,70.065
1967-07-01,70.939
1967-10-01,75.332
1968-01-01,77.502
1968-04-01,79.093
1968-07-01,79.282
1968-10-01,81.653
1969-01-01,80.729
1969-04-01,77.968
1969-07-01,74.557
1969-10-01,72.431
1970-01-01,64.983
1970-04-01,64.478
1970-07-01,64.977
1970-10-01,60.251
1971-01-01,70.18
1971-04-01,72.416
1971-07-01,74.659
1971-10-01,76.877
1972-01-01,81.789
1972-04-01,82.518
1972-07-01,86.752
1972-10-01,96.537
1973-01-01,108.423
1973-04-01,109.739
1973-07-01,107.694
1973-10-01,114.688
1974-01-01,117.396
1974-04-01,123.489
1974-07-01,134.134
1974-10-01,118.081
1975-01-01,98.563
1975-04-01,107.566
1975-07-01,133.789
1975-10-01,138.944
1976-01-01,153.823
1976-04-01,154.477
1976-07-01,155.241
1976-10-01,152.724
1977-01-01,164.065
1977-04-01,176.226
1977-07-01,182.671
1977-10-01,184.159
1978-01-01,178.468
1978-04-01,210.791
1978-07-01,213.089
1978-10-01,224.773
1979-01-01,224.504
1979-04-01,227.31
1979-07-01,226.334
1979-10-01,220.921
1980-01-01,230.57
1980-04-01,187.91
1980-07-01,206.632
1980-10-01,223.037
1981-01-01,227.528
1981-04-01,212.32
1981-07-01,221.966
1981-10-01,204.766
1982-01-01,179.803
1982-04-01,178.849
1982-07-01,174.945
1982-10-01,156.563
1983-01-01,157.49
1983-04-01,187.864
1983-07-01,210.082
1983-10-01,215.091
1984-01-01,238.708
1984-04-01,237.068
1984-07-01,216.395
1984-10-01,215.717
1985-01-01,206.675
1985-04-01,199.336
1985-07-01,210.977
1985-10-01,203.194
1986-01-01,166.407
1986-04-01,163.918
1986-07-01,166.46
1986-10-01,184.673
1987-01-01,196.056
1987-04-01,221.674
1987-07-01,237.525
1987-10-01,234.658
1988-01-01,250.67
1988-04-01,260.8
1988-07-01,265.23
1988-10-01,281.179
1989-01-01,270.908
1989-04-01,249.494
1989-07-01,229.645
1989-10-01,225.881
1990-01-01,228.11
1990-04-01,238.67
1990-07-01,249.782
1990-10-01,236.825
1991-01-01,225.551
1991-04-01,231.165
1991-07-01,237.625
1991-10-01,235.312
